StateName,Year,index,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,Adults 65+,Total,Footnotes
AL,2012,1,0.249,0.095,0.112,0.27,0.13,0.144,1.0,
AK,2012,2,0.27,0.106,0.129,0.278,0.134,0.085,1.0,
AZ,2012,3,0.262,0.095,0.118,0.257,0.119,0.151,1.0,
AR,2012,4,0.255,0.091,0.117,0.263,0.126,0.149,1.0,
CA,2012,5,0.258,0.103,0.127,0.277,0.115,0.121,1.0,
CO,2012,6,0.252,0.095,0.129,0.279,0.126,0.118,1.0,
CT,2012,7,0.238,0.084,0.106,0.293,0.133,0.147,1.0,
DE,2012,8,0.238,0.094,0.109,0.273,0.131,0.155,1.0,
DC,2012,9,0.192,0.108,0.207,0.266,0.111,0.116,1.0,
FL,2012,10,0.22,0.09,0.109,0.269,0.13,0.182,1.0,
GA,2012,11,0.269,0.094,0.121,0.284,0.117,0.115,1.0,
HI,2012,12,0.237,0.087,0.122,0.263,0.135,0.155,1.0,
ID,2012,13,0.281,0.095,0.116,0.254,0.123,0.132,1.0,
IL,2012,14,0.253,0.093,0.124,0.277,0.123,0.13,1.0,
IN,2012,15,0.259,0.092,0.116,0.272,0.127,0.135,1.0,
IA,2012,16,0.25,0.093,0.116,0.261,0.131,0.15,1.0,
KS,2012,17,0.267,0.095,0.12,0.26,0.125,0.134,1.0,
KY,2012,18,0.246,0.09,0.115,0.277,0.132,0.14,1.0,
LA,2012,19,0.26,0.099,0.124,0.262,0.125,0.13,1.0,
ME,2012,20,0.213,0.077,0.102,0.284,0.155,0.17,1.0,
MD,2012,21,0.244,0.09,0.122,0.287,0.128,0.129,1.0,
MA,2012,22,0.227,0.088,0.121,0.289,0.132,0.143,1.0,
MI,2012,23,0.243,0.096,0.105,0.275,0.136,0.146,1.0,
MN,2012,24,0.252,0.084,0.128,0.275,0.129,0.133,1.0,
MS,2012,25,0.271,0.098,0.112,0.261,0.124,0.134,1.0,
MO,2012,26,0.247,0.091,0.119,0.268,0.129,0.146,1.0,
MT,2012,27,0.232,0.088,0.111,0.261,0.15,0.157,1.0,
NE,2012,28,0.266,0.088,0.122,0.263,0.125,0.136,1.0,
NV,2012,29,0.252,0.093,0.126,0.277,0.122,0.131,1.0,
NH,2012,30,0.222,0.082,0.101,0.301,0.148,0.147,1.0,
NJ,2012,31,0.243,0.083,0.114,0.294,0.126,0.139,1.0,
NM,2012,32,0.266,0.09,0.119,0.255,0.13,0.141,1.0,
NY,2012,33,0.232,0.097,0.126,0.28,0.126,0.139,1.0,
NC,2012,34,0.251,0.09,0.114,0.281,0.126,0.138,1.0,
ND,2012,35,0.237,0.112,0.129,0.251,0.132,0.14,1.0,
OH,2012,36,0.244,0.089,0.111,0.274,0.135,0.146,1.0,
OK,2012,37,0.263,0.094,0.12,0.261,0.123,0.14,1.0,
OR,2012,38,0.233,0.09,0.124,0.267,0.137,0.15,1.0,
PA,2012,39,0.229,0.09,0.11,0.274,0.138,0.159,1.0,
RI,2012,40,0.223,0.098,0.113,0.281,0.134,0.15,1.0,
SC,2012,41,0.247,0.092,0.112,0.269,0.132,0.148,1.0,
SD,2012,42,0.261,0.091,0.119,0.251,0.136,0.141,1.0,
TN,2012,43,0.246,0.09,0.116,0.276,0.13,0.142,1.0,
TX,2012,44,0.286,0.099,0.128,0.271,0.109,0.109,1.0,
UT,2012,45,0.324,0.113,0.142,0.234,0.092,0.095,1.0,
VT,2012,46,0.21,0.088,0.103,0.28,0.157,0.161,1.0,
VA,2012,47,0.245,0.09,0.123,0.285,0.126,0.132,1.0,
WA,2012,48,0.243,0.092,0.126,0.277,0.131,0.132,1.0,
WV,2012,49,0.219,0.087,0.106,0.27,0.151,0.167,1.0,
WI,2012,50,0.244,0.088,0.116,0.276,0.134,0.142,1.0,
WY,2012,51,0.249,0.093,0.129,0.259,0.14,0.13,1.0,
PR,2012,52,0.248,0.101,0.111,0.261,0.12,0.158,1.0,
AL,2008,54,0.258,0.095,0.113,0.282,0.118,0.135,1.0,
AK,2008,55,0.282,0.113,0.122,0.289,0.12,0.074,1.0,
AZ,2008,56,0.279,0.09,0.126,0.266,0.105,0.134,1.0,
AR,2008,57,0.263,0.09,0.114,0.276,0.117,0.141,1.0,
CA,2008,58,0.272,0.101,0.126,0.288,0.102,0.112,1.0,
CO,2008,59,0.259,0.093,0.132,0.3,0.113,0.103,1.0,
CT,2008,60,0.249,0.082,0.102,0.314,0.119,0.134,1.0,
DE,2008,61,0.257,0.09,0.109,0.288,0.121,0.136,1.0,
DC,2008,62,0.209,0.111,0.161,0.285,0.115,0.118,1.0,
FL,2008,63,0.233,0.085,0.108,0.281,0.119,0.174,1.0,
GA,2008,64,0.281,0.091,0.124,0.298,0.106,0.101,1.0,
HI,2008,65,0.241,0.096,0.109,0.283,0.12,0.152,1.0,
ID,2008,66,0.289,0.096,0.121,0.267,0.112,0.115,1.0,
IL,2008,67,0.264,0.095,0.123,0.291,0.108,0.12,1.0,
IN,2008,68,0.264,0.086,0.12,0.291,0.114,0.125,1.0,
IA,2008,69,0.251,0.097,0.108,0.285,0.118,0.142,1.0,
KS,2008,70,0.265,0.097,0.117,0.28,0.112,0.128,1.0,
KY,2008,71,0.251,0.084,0.119,0.297,0.12,0.129,1.0,
LA,2008,72,0.269,0.101,0.115,0.28,0.116,0.12,1.0,
ME,2008,73,0.223,0.075,0.1,0.317,0.136,0.151,1.0,
MD,2008,74,0.254,0.091,0.113,0.305,0.116,0.121,1.0,
MA,2008,75,0.238,0.091,0.116,0.309,0.118,0.129,1.0,
MI,2008,76,0.257,0.09,0.111,0.296,0.119,0.128,1.0,
MN,2008,77,0.255,0.093,0.118,0.301,0.114,0.119,1.0,
MS,2008,78,0.281,0.095,0.112,0.277,0.112,0.123,1.0,
MO,2008,79,0.255,0.093,0.117,0.287,0.117,0.133,1.0,
MT,2008,80,0.256,0.095,0.106,0.279,0.127,0.137,1.0,
NE,2008,81,0.272,0.092,0.118,0.278,0.111,0.128,1.0,
NV,2008,82,0.27,0.085,0.128,0.288,0.113,0.115,1.0,
NH,2008,83,0.237,0.08,0.106,0.324,0.129,0.124,1.0,
NJ,2008,84,0.252,0.085,0.11,0.311,0.113,0.129,1.0,
NM,2008,85,0.271,0.097,0.116,0.27,0.115,0.132,1.0,
NY,2008,86,0.243,0.095,0.116,0.299,0.116,0.131,1.0,
NC,2008,87,0.261,0.085,0.119,0.295,0.117,0.123,1.0,
ND,2008,88,0.235,0.12,0.115,0.265,0.128,0.137,1.0,
OH,2008,89,0.254,0.087,0.114,0.292,0.119,0.134,1.0,
OK,2008,90,0.268,0.095,0.12,0.27,0.115,0.133,1.0,
OR,2008,91,0.243,0.09,0.124,0.285,0.126,0.132,1.0,
PA,2008,92,0.238,0.086,0.105,0.299,0.123,0.149,1.0,
RI,2008,93,0.231,0.098,0.107,0.307,0.119,0.139,1.0,
SC,2008,94,0.256,0.089,0.111,0.286,0.125,0.133,1.0,
SD,2008,95,0.271,0.085,0.106,0.282,0.115,0.141,1.0,
TN,2008,96,0.251,0.086,0.119,0.294,0.121,0.129,1.0,
TX,2008,97,0.296,0.097,0.128,0.281,0.099,0.1,1.0,
UT,2008,98,0.329,0.123,0.141,0.235,0.083,0.089,1.0,
VT,2008,99,0.222,0.084,0.102,0.319,0.135,0.139,1.0,
VA,2008,100,0.255,0.089,0.114,0.302,0.118,0.122,1.0,
WA,2008,101,0.252,0.087,0.123,0.298,0.121,0.119,1.0,
WV,2008,102,0.222,0.084,0.112,0.291,0.138,0.153,1.0,
WI,2008,103,0.248,0.092,0.113,0.299,0.118,0.13,1.0,
WY,2008,104,0.262,0.094,0.116,0.284,0.122,0.123,1.0,
PR,2008,105,0.264,0.101,0.122,0.263,0.114,0.136,1.0,
AL,2017,107,0.24,0.091,0.113,0.255,0.136,0.165,1.0,
AK,2017,108,0.271,0.09,0.138,0.259,0.13,0.113,1.0,
AZ,2017,109,0.247,0.093,0.119,0.245,0.123,0.173,1.0,
AR,2017,110,0.251,0.091,0.113,0.25,0.13,0.165,1.0,
CA,2017,111,0.242,0.096,0.135,0.266,0.122,0.14,1.0,
CO,2017,112,0.238,0.09,0.139,0.266,0.128,0.14,1.0,
CT,2017,113,0.222,0.086,0.114,0.267,0.147,0.166,1.0,
DE,2017,114,0.224,0.084,0.119,0.249,0.143,0.183,1.0,
DC,2017,115,0.191,0.098,0.215,0.269,0.104,0.124,1.0,
FL,2017,116,0.213,0.083,0.114,0.254,0.135,0.202,1.0,
GA,2017,117,0.258,0.09,0.12,0.272,0.124,0.136,1.0,
HI,2017,118,0.231,0.074,0.125,0.252,0.134,0.184,1.0,
ID,2017,119,0.273,0.089,0.113,0.244,0.126,0.154,1.0,
IL,2017,120,0.241,0.089,0.124,0.263,0.132,0.15,1.0,
IN,2017,121,0.25,0.092,0.117,0.256,0.133,0.153,1.0,
IA,2017,122,0.248,0.09,0.115,0.248,0.136,0.164,1.0,
KS,2017,123,0.26,0.094,0.117,0.244,0.132,0.153,1.0,
KY,2017,124,0.242,0.088,0.114,0.26,0.137,0.159,1.0,
LA,2017,125,0.255,0.094,0.121,0.251,0.131,0.149,1.0,
ME,2017,126,0.201,0.071,0.11,0.258,0.161,0.199,1.0,
MD,2017,127,0.236,0.085,0.123,0.271,0.137,0.149,1.0,
MA,2017,128,0.216,0.086,0.131,0.267,0.139,0.162,1.0,
MI,2017,129,0.23,0.092,0.114,0.253,0.143,0.167,1.0,
MN,2017,130,0.244,0.085,0.124,0.259,0.137,0.152,1.0,
MS,2017,131,0.259,0.095,0.105,0.254,0.131,0.156,1.0,
MO,2017,132,0.241,0.086,0.122,0.25,0.137,0.164,1.0,
MT,2017,133,0.225,0.093,0.113,0.241,0.148,0.181,1.0,
NE,2017,134,0.26,0.09,0.124,0.244,0.131,0.152,1.0,
NV,2017,135,0.239,0.087,0.127,0.268,0.125,0.155,1.0,
NH,2017,136,0.204,0.081,0.114,0.267,0.161,0.175,1.0,
NJ,2017,137,0.233,0.083,0.116,0.274,0.137,0.156,1.0,
NM,2017,138,0.25,0.094,0.116,0.236,0.135,0.169,1.0,
NY,2017,139,0.221,0.091,0.132,0.264,0.133,0.159,1.0,
NC,2017,140,0.241,0.085,0.117,0.267,0.131,0.16,1.0,
ND,2017,141,0.244,0.104,0.136,0.237,0.135,0.146,1.0,
OH,2017,142,0.237,0.087,0.118,0.253,0.141,0.165,1.0,
OK,2017,143,0.262,0.09,0.122,0.246,0.128,0.153,1.0,
OR,2017,144,0.222,0.085,0.129,0.259,0.134,0.171,1.0,
PA,2017,145,0.222,0.083,0.118,0.255,0.145,0.177,1.0,
RI,2017,146,0.212,0.093,0.124,0.259,0.145,0.167,1.0,
SC,2017,147,0.233,0.086,0.114,0.256,0.136,0.175,1.0,
SD,2017,148,0.256,0.086,0.124,0.235,0.137,0.162,1.0,
TN,2017,149,0.239,0.086,0.121,0.261,0.134,0.159,1.0,
TX,2017,150,0.277,0.095,0.13,0.262,0.114,0.122,1.0,
UT,2017,151,0.315,0.107,0.131,0.242,0.097,0.108,1.0,
VT,2017,152,0.2,0.087,0.109,0.253,0.16,0.19,1.0,
VA,2017,153,0.237,0.088,0.121,0.269,0.133,0.153,1.0,
WA,2017,154,0.235,0.087,0.133,0.262,0.131,0.151,1.0,
WV,2017,155,0.219,0.084,0.101,0.255,0.148,0.194,1.0,
WI,2017,156,0.234,0.088,0.114,0.255,0.144,0.165,1.0,
WY,2017,157,0.253,0.086,0.123,0.236,0.145,0.157,1.0,
PR,2017,158,0.212,0.099,0.104,0.257,0.13,0.198,1.0,
AL,2021,160,0.236,0.087,0.113,0.251,0.137,0.177,1.0,
AK,2021,161,0.264,0.085,0.132,0.258,0.125,0.137,1.0,
AZ,2021,162,0.236,0.088,0.123,0.245,0.122,0.186,1.0,
AR,2021,163,0.246,0.087,0.115,0.247,0.13,0.174,1.0,
CA,2021,164,0.236,0.087,0.134,0.266,0.123,0.153,1.0,
CO,2021,165,0.227,0.086,0.141,0.27,0.123,0.153,1.0,
CT,2021,166,0.216,0.083,0.114,0.259,0.147,0.18,1.0,
DE,2021,167,0.218,0.078,0.113,0.243,0.147,0.201,1.0,
DC,2021,168,0.198,0.079,0.21,0.278,0.103,0.132,1.0,
FL,2021,169,0.208,0.077,0.112,0.251,0.139,0.213,1.0,
GA,2021,170,0.25,0.086,0.122,0.266,0.126,0.149,1.0,
HI,2021,171,0.226,0.071,0.115,0.252,0.132,0.204,1.0,
ID,2021,172,0.261,0.086,0.117,0.248,0.121,0.167,1.0,
IL,2021,173,0.235,0.085,0.121,0.262,0.132,0.166,1.0,
IN,2021,174,0.246,0.089,0.119,0.251,0.131,0.164,1.0,
IA,2021,175,0.244,0.089,0.112,0.244,0.134,0.177,1.0,
KS,2021,176,0.254,0.091,0.113,0.245,0.13,0.166,1.0,
KY,2021,177,0.237,0.087,0.116,0.252,0.136,0.172,1.0,
LA,2021,178,0.248,0.089,0.117,0.249,0.13,0.167,1.0,
ME,2021,179,0.19,0.068,0.113,0.253,0.158,0.218,1.0,
MD,2021,180,0.234,0.078,0.12,0.265,0.139,0.164,1.0,
MA,2021,181,0.21,0.082,0.13,0.261,0.142,0.176,1.0,
MI,2021,182,0.226,0.088,0.118,0.245,0.141,0.182,1.0,
MN,2021,183,0.241,0.082,0.119,0.257,0.134,0.168,1.0,
MS,2021,184,0.252,0.09,0.107,0.252,0.13,0.171,1.0,
MO,2021,185,0.239,0.083,0.118,0.248,0.136,0.176,1.0,
MT,2021,186,0.222,0.089,0.115,0.238,0.138,0.198,1.0,
NE,2021,187,0.26,0.088,0.118,0.245,0.125,0.164,1.0,
NV,2021,188,0.233,0.081,0.129,0.265,0.126,0.167,1.0,
NH,2021,189,0.198,0.076,0.119,0.254,0.16,0.193,1.0,
NJ,2021,190,0.23,0.079,0.117,0.266,0.14,0.168,1.0,
NM,2021,191,0.241,0.084,0.116,0.242,0.131,0.187,1.0,
NY,2021,192,0.219,0.081,0.129,0.258,0.138,0.175,1.0,
NC,2021,193,0.234,0.083,0.117,0.261,0.133,0.173,1.0,
ND,2021,194,0.253,0.098,0.126,0.239,0.124,0.16,1.0,
OH,2021,195,0.234,0.084,0.119,0.248,0.137,0.178,1.0,
OK,2021,196,0.256,0.09,0.117,0.249,0.124,0.163,1.0,
OR,2021,197,0.211,0.082,0.127,0.266,0.126,0.187,1.0,
PA,2021,198,0.219,0.077,0.12,0.25,0.143,0.19,1.0,
RI,2021,199,0.205,0.085,0.125,0.255,0.147,0.183,1.0,
SC,2021,200,0.23,0.082,0.114,0.249,0.137,0.189,1.0,
SD,2021,201,0.26,0.09,0.11,0.231,0.135,0.175,1.0,
TN,2021,202,0.232,0.085,0.122,0.256,0.134,0.171,1.0,
TX,2021,203,0.268,0.091,0.13,0.264,0.114,0.133,1.0,
UT,2021,204,0.3,0.108,0.132,0.25,0.094,0.117,1.0,
VT,2021,205,0.193,0.082,0.11,0.25,0.156,0.209,1.0,
VA,2021,206,0.234,0.083,0.119,0.264,0.134,0.167,1.0,
WA,2021,207,0.228,0.082,0.136,0.265,0.126,0.163,1.0,
WV,2021,208,0.212,0.083,0.101,0.252,0.143,0.209,1.0,
WI,2021,209,0.228,0.085,0.114,0.249,0.144,0.179,1.0,
WY,2021,210,0.24,0.085,0.104,0.258,0.132,0.181,1.0,
PR,2021,211,0.181,0.098,0.108,0.25,0.136,0.227,1.0,
AL,2022,213,0.233,0.088,0.117,0.249,0.132,0.181,1.0,
AK,2022,214,0.255,0.088,0.134,0.253,0.13,0.139,1.0,
AZ,2022,215,0.23,0.095,0.123,0.243,0.12,0.19,1.0,
AR,2022,216,0.243,0.092,0.111,0.249,0.127,0.177,1.0,
CA,2022,217,0.231,0.089,0.134,0.266,0.122,0.159,1.0,
CO,2022,218,0.221,0.09,0.142,0.27,0.12,0.158,1.0,
CT,2022,219,0.216,0.083,0.115,0.258,0.145,0.184,1.0,
DE,2022,220,0.217,0.074,0.118,0.237,0.143,0.211,1.0,
DC,2022,221,0.198,0.089,0.198,0.284,0.096,0.134,1.0,
FL,2022,222,0.204,0.08,0.113,0.251,0.137,0.216,1.0,
GA,2022,223,0.246,0.092,0.121,0.265,0.125,0.151,1.0,
HI,2022,224,0.219,0.072,0.111,0.258,0.128,0.212,1.0,
ID,2022,225,0.257,0.09,0.116,0.249,0.118,0.171,1.0,
IL,2022,226,0.229,0.088,0.123,0.26,0.129,0.171,1.0,
IN,2022,227,0.243,0.092,0.119,0.249,0.128,0.168,1.0,
IA,2022,228,0.24,0.089,0.116,0.244,0.129,0.182,1.0,
KS,2022,229,0.252,0.094,0.114,0.244,0.124,0.173,1.0,
KY,2022,230,0.236,0.088,0.117,0.251,0.133,0.175,1.0,
LA,2022,231,0.247,0.087,0.117,0.25,0.129,0.17,1.0,
ME,2022,232,0.186,0.069,0.113,0.251,0.156,0.225,1.0,
MD,2022,233,0.233,0.08,0.118,0.264,0.136,0.169,1.0,
MA,2022,234,0.205,0.086,0.128,0.259,0.14,0.181,1.0,
MI,2022,235,0.221,0.091,0.118,0.245,0.138,0.187,1.0,
MN,2022,236,0.236,0.086,0.121,0.254,0.132,0.171,1.0,
MS,2022,237,0.248,0.091,0.108,0.252,0.126,0.176,1.0,
MO,2022,238,0.234,0.088,0.119,0.248,0.132,0.18,1.0,
MT,2022,239,0.223,0.087,0.116,0.242,0.131,0.201,1.0,
NE,2022,240,0.255,0.09,0.115,0.249,0.121,0.169,1.0,
NV,2022,241,0.229,0.083,0.128,0.266,0.124,0.171,1.0,
NH,2022,242,0.191,0.076,0.122,0.251,0.16,0.201,1.0,
NJ,2022,243,0.228,0.081,0.116,0.265,0.137,0.173,1.0,
NM,2022,244,0.229,0.092,0.114,0.246,0.125,0.194,1.0,
NY,2022,245,0.213,0.085,0.128,0.256,0.136,0.181,1.0,
NC,2022,246,0.23,0.086,0.119,0.258,0.131,0.176,1.0,
ND,2022,247,0.242,0.099,0.131,0.241,0.12,0.167,1.0,
OH,2022,248,0.231,0.085,0.119,0.248,0.134,0.183,1.0,
OK,2022,249,0.254,0.09,0.121,0.25,0.12,0.166,1.0,
OR,2022,250,0.208,0.083,0.128,0.267,0.123,0.193,1.0,
PA,2022,251,0.216,0.08,0.119,0.249,0.14,0.196,1.0,
RI,2022,252,0.2,0.085,0.129,0.251,0.145,0.19,1.0,
SC,2022,253,0.226,0.084,0.112,0.25,0.135,0.193,1.0,
SD,2022,254,0.256,0.08,0.115,0.236,0.132,0.181,1.0,
TN,2022,255,0.23,0.088,0.123,0.255,0.132,0.173,1.0,
TX,2022,256,0.264,0.095,0.129,0.265,0.111,0.135,1.0,
UT,2022,257,0.292,0.114,0.131,0.25,0.093,0.12,1.0,
VT,2022,258,0.193,0.077,0.115,0.249,0.15,0.217,1.0,
VA,2022,259,0.232,0.086,0.118,0.261,0.132,0.172,1.0,
WA,2022,260,0.223,0.084,0.136,0.267,0.122,0.169,1.0,
WV,2022,261,0.212,0.083,0.104,0.249,0.139,0.214,1.0,
WI,2022,262,0.224,0.087,0.115,0.247,0.141,0.187,1.0,
WY,2022,263,0.241,0.076,0.114,0.254,0.129,0.187,1.0,
PR,2022,264,0.175,0.093,0.111,0.25,0.137,0.234,1.0,
