StateName,Year,index,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,Adults 65+,Total,Footnotes
PR,2023,529,0.169,0.094,0.113,0.247,0.136,0.24,1.0,
AL,2019,531,0.237,0.087,0.115,0.251,0.135,0.175,1.0,
AK,2019,532,0.259,0.093,0.139,0.246,0.132,0.13,1.0,
AZ,2019,533,0.24,0.093,0.121,0.241,0.124,0.182,1.0,
AR,2019,534,0.247,0.087,0.115,0.248,0.131,0.173,1.0,
CA,2019,535,0.237,0.092,0.137,0.263,0.123,0.149,1.0,
CO,2019,536,0.231,0.089,0.141,0.265,0.126,0.148,1.0,
CT,2019,537,0.217,0.086,0.113,0.259,0.148,0.177,1.0,
DE,2019,538,0.218,0.081,0.118,0.242,0.144,0.197,1.0,
DC,2019,539,0.195,0.09,0.216,0.269,0.103,0.127,1.0,
FL,2019,540,0.209,0.08,0.114,0.249,0.137,0.211,1.0,
GA,2019,541,0.253,0.089,0.122,0.267,0.125,0.145,1.0,
HI,2019,542,0.228,0.072,0.116,0.255,0.132,0.197,1.0,
ID,2019,543,0.267,0.085,0.12,0.242,0.125,0.162,1.0,
IL,2019,544,0.237,0.087,0.126,0.258,0.132,0.16,1.0,
IN,2019,545,0.246,0.091,0.118,0.25,0.134,0.161,1.0,
IA,2019,546,0.244,0.089,0.114,0.243,0.136,0.174,1.0,
KS,2019,547,0.257,0.092,0.116,0.241,0.131,0.164,1.0,
KY,2019,548,0.237,0.089,0.114,0.254,0.137,0.17,1.0,
LA,2019,549,0.25,0.088,0.123,0.248,0.132,0.16,1.0,
ME,2019,550,0.19,0.075,0.11,0.252,0.16,0.213,1.0,
MD,2019,551,0.233,0.081,0.123,0.265,0.138,0.16,1.0,
MA,2019,552,0.209,0.087,0.132,0.26,0.141,0.171,1.0,
MI,2019,553,0.227,0.091,0.118,0.246,0.142,0.177,1.0,
MN,2019,554,0.243,0.082,0.125,0.252,0.137,0.162,1.0,
MS,2019,555,0.254,0.089,0.11,0.251,0.131,0.165,1.0,
MO,2019,556,0.236,0.085,0.121,0.246,0.139,0.172,1.0,
MT,2019,557,0.226,0.085,0.114,0.236,0.143,0.196,1.0,
NE,2019,558,0.26,0.088,0.122,0.24,0.129,0.162,1.0,
NV,2019,559,0.235,0.083,0.131,0.262,0.126,0.163,1.0,
NH,2019,560,0.201,0.078,0.115,0.258,0.163,0.186,1.0,
NJ,2019,561,0.23,0.082,0.117,0.267,0.139,0.165,1.0,
NM,2019,562,0.24,0.09,0.117,0.238,0.132,0.183,1.0,
NY,2019,563,0.217,0.086,0.134,0.257,0.136,0.169,1.0,
NC,2019,564,0.235,0.086,0.118,0.26,0.133,0.169,1.0,
ND,2019,565,0.245,0.102,0.137,0.232,0.128,0.156,1.0,
OH,2019,566,0.234,0.085,0.119,0.248,0.14,0.174,1.0,
OK,2019,567,0.256,0.091,0.123,0.242,0.127,0.16,1.0,
OR,2019,568,0.214,0.084,0.128,0.261,0.129,0.183,1.0,
PA,2019,569,0.219,0.079,0.123,0.248,0.145,0.187,1.0,
RI,2019,570,0.207,0.088,0.127,0.253,0.148,0.178,1.0,
SC,2019,571,0.23,0.082,0.116,0.249,0.138,0.184,1.0,
SD,2019,572,0.257,0.082,0.115,0.235,0.136,0.174,1.0,
TN,2019,573,0.235,0.086,0.124,0.254,0.134,0.167,1.0,
TX,2019,574,0.272,0.094,0.13,0.261,0.114,0.129,1.0,
UT,2019,575,0.308,0.109,0.132,0.242,0.095,0.115,1.0,
VT,2019,576,0.195,0.086,0.111,0.247,0.158,0.204,1.0,
VA,2019,577,0.234,0.084,0.12,0.265,0.135,0.163,1.0,
WA,2019,578,0.23,0.084,0.138,0.26,0.129,0.16,1.0,
WV,2019,579,0.212,0.081,0.105,0.251,0.146,0.205,1.0,
WI,2019,580,0.23,0.085,0.116,0.251,0.143,0.175,1.0,
WY,2019,581,0.251,0.083,0.117,0.242,0.135,0.172,1.0,
PR,2019,582,0.196,0.099,0.105,0.253,0.135,0.213,1.0,
AL,2018,584,0.237,0.088,0.117,0.251,0.136,0.171,1.0,
AK,2018,585,0.27,0.088,0.132,0.258,0.133,0.121,1.0,
AZ,2018,586,0.244,0.092,0.12,0.243,0.123,0.178,1.0,
AR,2018,587,0.249,0.087,0.118,0.247,0.13,0.167,1.0,
CA,2018,588,0.241,0.093,0.137,0.264,0.122,0.144,1.0,
CO,2018,589,0.238,0.089,0.139,0.265,0.126,0.143,1.0,
CT,2018,590,0.222,0.084,0.112,0.265,0.147,0.171,1.0,
DE,2018,591,0.22,0.082,0.117,0.249,0.143,0.19,1.0,
DC,2018,592,0.195,0.096,0.212,0.269,0.105,0.124,1.0,
FL,2018,593,0.211,0.081,0.115,0.251,0.136,0.206,1.0,
GA,2018,594,0.256,0.088,0.124,0.269,0.124,0.14,1.0,
HI,2018,595,0.23,0.073,0.124,0.251,0.132,0.191,1.0,
ID,2018,596,0.269,0.088,0.118,0.241,0.124,0.16,1.0,
IL,2018,597,0.238,0.089,0.124,0.261,0.133,0.155,1.0,
IN,2018,598,0.248,0.09,0.118,0.254,0.133,0.157,1.0,
IA,2018,599,0.247,0.089,0.115,0.245,0.135,0.169,1.0,
KS,2018,600,0.259,0.093,0.116,0.245,0.132,0.157,1.0,
KY,2018,601,0.237,0.09,0.116,0.256,0.137,0.165,1.0,
LA,2018,602,0.253,0.091,0.122,0.249,0.131,0.155,1.0,
ME,2018,603,0.193,0.072,0.108,0.256,0.165,0.206,1.0,
MD,2018,604,0.235,0.084,0.121,0.268,0.138,0.154,1.0,
MA,2018,605,0.212,0.087,0.131,0.263,0.141,0.166,1.0,
MI,2018,606,0.228,0.091,0.118,0.249,0.143,0.172,1.0,
MN,2018,607,0.244,0.084,0.125,0.255,0.137,0.156,1.0,
MS,2018,608,0.255,0.091,0.113,0.249,0.131,0.16,1.0,
MO,2018,609,0.237,0.088,0.12,0.248,0.139,0.169,1.0,
MT,2018,610,0.225,0.082,0.115,0.24,0.147,0.192,1.0,
NE,2018,611,0.261,0.087,0.12,0.246,0.13,0.156,1.0,
NV,2018,612,0.237,0.084,0.129,0.265,0.125,0.159,1.0,
NH,2018,613,0.203,0.081,0.112,0.261,0.162,0.181,1.0,
NJ,2018,614,0.232,0.083,0.115,0.271,0.138,0.161,1.0,
NM,2018,615,0.244,0.091,0.117,0.237,0.133,0.178,1.0,
NY,2018,616,0.22,0.087,0.134,0.26,0.135,0.164,1.0,
NC,2018,617,0.237,0.085,0.117,0.264,0.133,0.164,1.0,
ND,2018,618,0.242,0.108,0.136,0.233,0.132,0.15,1.0,
OH,2018,619,0.235,0.086,0.119,0.251,0.141,0.17,1.0,
OK,2018,620,0.259,0.087,0.126,0.244,0.127,0.157,1.0,
OR,2018,621,0.218,0.085,0.129,0.259,0.131,0.177,1.0,
PA,2018,622,0.22,0.083,0.119,0.252,0.145,0.182,1.0,
RI,2018,623,0.205,0.091,0.127,0.259,0.146,0.173,1.0,
SC,2018,624,0.234,0.086,0.113,0.252,0.137,0.179,1.0,
SD,2018,625,0.258,0.091,0.114,0.236,0.138,0.164,1.0,
TN,2018,626,0.237,0.087,0.12,0.26,0.134,0.163,1.0,
TX,2018,627,0.275,0.094,0.13,0.262,0.114,0.125,1.0,
UT,2018,628,0.311,0.109,0.13,0.244,0.096,0.111,1.0,
VT,2018,629,0.195,0.081,0.114,0.252,0.159,0.198,1.0,
VA,2018,630,0.236,0.086,0.122,0.265,0.133,0.158,1.0,
WA,2018,631,0.232,0.084,0.139,0.26,0.13,0.155,1.0,
WV,2018,632,0.213,0.082,0.105,0.253,0.146,0.201,1.0,
WI,2018,633,0.231,0.086,0.114,0.256,0.144,0.169,1.0,
WY,2018,634,0.243,0.083,0.121,0.244,0.141,0.169,1.0,
PR,2018,635,0.201,0.096,0.106,0.257,0.134,0.207,1.0,
AL,2014,637,0.243,0.094,0.113,0.263,0.133,0.154,1.0,
AK,2014,638,0.272,0.109,0.131,0.261,0.131,0.096,1.0,
AZ,2014,639,0.255,0.096,0.117,0.251,0.12,0.161,1.0,
AR,2014,640,0.256,0.089,0.115,0.258,0.127,0.156,1.0,
CA,2014,641,0.25,0.101,0.131,0.271,0.118,0.129,1.0,
CO,2014,642,0.247,0.094,0.133,0.271,0.127,0.128,1.0,
CT,2014,643,0.231,0.084,0.11,0.283,0.139,0.154,1.0,
DE,2014,644,0.234,0.093,0.112,0.261,0.137,0.164,1.0,
DC,2014,645,0.188,0.104,0.213,0.271,0.109,0.115,1.0,
FL,2014,646,0.217,0.088,0.111,0.261,0.131,0.192,1.0,
GA,2014,647,0.264,0.094,0.121,0.278,0.119,0.124,1.0,
HI,2014,648,0.233,0.087,0.126,0.256,0.132,0.167,1.0,
ID,2014,649,0.278,0.094,0.114,0.246,0.124,0.144,1.0,
IL,2014,650,0.246,0.093,0.124,0.272,0.128,0.137,1.0,
IN,2014,651,0.254,0.093,0.116,0.266,0.13,0.142,1.0,
IA,2014,652,0.248,0.09,0.116,0.255,0.134,0.156,1.0,
KS,2014,653,0.266,0.095,0.119,0.251,0.128,0.141,1.0,
KY,2014,654,0.243,0.091,0.113,0.271,0.134,0.148,1.0,
LA,2014,655,0.256,0.098,0.126,0.256,0.128,0.136,1.0,
ME,2014,656,0.204,0.079,0.102,0.274,0.16,0.182,1.0,
MD,2014,657,0.24,0.089,0.124,0.28,0.131,0.137,1.0,
MA,2014,658,0.221,0.092,0.123,0.279,0.135,0.15,1.0,
MI,2014,659,0.236,0.096,0.109,0.265,0.14,0.154,1.0,
MN,2014,660,0.247,0.087,0.127,0.266,0.133,0.14,1.0,
MS,2014,661,0.263,0.094,0.112,0.259,0.128,0.144,1.0,
MO,2014,662,0.243,0.091,0.12,0.261,0.133,0.152,1.0,
MT,2014,663,0.231,0.096,0.111,0.245,0.151,0.167,1.0,
NE,2014,664,0.266,0.089,0.122,0.252,0.128,0.143,1.0,
NV,2014,665,0.245,0.093,0.126,0.272,0.122,0.142,1.0,
NH,2014,666,0.217,0.085,0.103,0.286,0.153,0.157,1.0,
NJ,2014,667,0.239,0.085,0.114,0.285,0.131,0.145,1.0,
NM,2014,668,0.254,0.102,0.115,0.244,0.133,0.153,1.0,
NY,2014,669,0.227,0.095,0.129,0.274,0.129,0.146,1.0,
NC,2014,670,0.246,0.091,0.114,0.274,0.128,0.147,1.0,
ND,2014,671,0.241,0.118,0.134,0.238,0.13,0.14,1.0,
OH,2014,672,0.241,0.089,0.114,0.265,0.138,0.153,1.0,
OK,2014,673,0.26,0.097,0.122,0.253,0.124,0.145,1.0,
OR,2014,674,0.227,0.087,0.125,0.262,0.139,0.16,1.0,
PA,2014,675,0.225,0.087,0.116,0.265,0.142,0.166,1.0,
RI,2014,676,0.218,0.095,0.119,0.272,0.138,0.158,1.0,
SC,2014,677,0.24,0.091,0.114,0.263,0.134,0.159,1.0,
SD,2014,678,0.261,0.095,0.117,0.245,0.134,0.148,1.0,
TN,2014,679,0.242,0.093,0.115,0.268,0.132,0.15,1.0,
TX,2014,680,0.281,0.098,0.129,0.266,0.111,0.115,1.0,
UT,2014,681,0.324,0.108,0.135,0.237,0.096,0.101,1.0,
VT,2014,682,0.207,0.085,0.107,0.271,0.16,0.171,1.0,
VA,2014,683,0.242,0.092,0.122,0.276,0.129,0.14,1.0,
WA,2014,684,0.24,0.092,0.128,0.268,0.132,0.141,1.0,
WV,2014,685,0.217,0.087,0.106,0.262,0.149,0.179,1.0,
WI,2014,686,0.238,0.092,0.115,0.267,0.137,0.151,1.0,
WY,2014,687,0.248,0.093,0.129,0.253,0.143,0.135,1.0,
PR,2014,688,0.233,0.104,0.106,0.26,0.123,0.174,1.0,
AL,2013,690,0.248,0.094,0.113,0.265,0.131,0.149,1.0,
AK,2013,691,0.272,0.107,0.136,0.265,0.126,0.094,1.0,
AZ,2013,692,0.258,0.095,0.119,0.252,0.12,0.155,1.0,
AR,2013,693,0.255,0.089,0.118,0.259,0.127,0.153,1.0,
CA,2013,694,0.253,0.102,0.129,0.273,0.116,0.126,1.0,
CO,2013,695,0.251,0.095,0.13,0.275,0.127,0.123,1.0,
CT,2013,696,0.235,0.082,0.111,0.286,0.137,0.15,1.0,
DE,2013,697,0.235,0.087,0.117,0.271,0.133,0.158,1.0,
DC,2013,698,0.187,0.113,0.207,0.266,0.111,0.116,1.0,
FL,2013,699,0.219,0.089,0.109,0.265,0.131,0.187,1.0,
GA,2013,700,0.267,0.094,0.119,0.281,0.118,0.12,1.0,
HI,2013,701,0.236,0.09,0.121,0.258,0.133,0.162,1.0,
ID,2013,702,0.28,0.093,0.116,0.25,0.123,0.139,1.0,
IL,2013,703,0.248,0.094,0.125,0.275,0.125,0.133,1.0,
IN,2013,704,0.257,0.092,0.115,0.269,0.129,0.138,1.0,
IA,2013,705,0.25,0.091,0.115,0.258,0.134,0.152,1.0,
KS,2013,706,0.265,0.094,0.12,0.254,0.127,0.139,1.0,
KY,2013,707,0.245,0.092,0.114,0.272,0.133,0.144,1.0,
LA,2013,708,0.257,0.1,0.126,0.258,0.128,0.131,1.0,
ME,2013,709,0.206,0.08,0.1,0.28,0.158,0.176,1.0,
MD,2013,710,0.241,0.088,0.123,0.284,0.129,0.133,1.0,
MA,2013,711,0.223,0.091,0.122,0.283,0.133,0.148,1.0,
MI,2013,712,0.24,0.096,0.107,0.27,0.139,0.149,1.0,
MN,2013,713,0.249,0.087,0.125,0.271,0.131,0.138,1.0,
MS,2013,714,0.265,0.096,0.113,0.26,0.127,0.139,1.0,
MO,2013,715,0.244,0.093,0.119,0.264,0.131,0.149,1.0,
MT,2013,716,0.234,0.092,0.111,0.25,0.15,0.162,1.0,
NE,2013,717,0.264,0.093,0.123,0.254,0.127,0.14,1.0,
NV,2013,718,0.25,0.091,0.126,0.273,0.122,0.137,1.0,
NH,2013,719,0.219,0.082,0.104,0.293,0.15,0.152,1.0,
NJ,2013,720,0.242,0.084,0.114,0.289,0.128,0.143,1.0,
NM,2013,721,0.26,0.096,0.115,0.25,0.13,0.149,1.0,
NY,2013,722,0.229,0.096,0.128,0.277,0.128,0.143,1.0,
NC,2013,723,0.248,0.091,0.114,0.277,0.127,0.143,1.0,
ND,2013,724,0.236,0.124,0.122,0.246,0.132,0.14,1.0,
OH,2013,725,0.242,0.089,0.113,0.269,0.137,0.15,1.0,
OK,2013,726,0.262,0.096,0.122,0.255,0.123,0.141,1.0,
OR,2013,727,0.229,0.091,0.121,0.266,0.139,0.154,1.0,
PA,2013,728,0.226,0.089,0.112,0.27,0.14,0.163,1.0,
RI,2013,729,0.217,0.099,0.116,0.277,0.138,0.154,1.0,
SC,2013,730,0.242,0.094,0.112,0.266,0.133,0.153,1.0,
SD,2013,731,0.256,0.092,0.12,0.254,0.134,0.145,1.0,
TN,2013,732,0.244,0.092,0.116,0.272,0.131,0.146,1.0,
TX,2013,733,0.283,0.099,0.128,0.268,0.11,0.112,1.0,
UT,2013,734,0.326,0.11,0.137,0.237,0.093,0.098,1.0,
VT,2013,735,0.215,0.079,0.106,0.279,0.156,0.167,1.0,
VA,2013,736,0.243,0.09,0.122,0.281,0.128,0.136,1.0,
WA,2013,737,0.241,0.091,0.128,0.272,0.131,0.137,1.0,
WV,2013,738,0.217,0.087,0.106,0.267,0.151,0.173,1.0,
WI,2013,739,0.241,0.089,0.116,0.271,0.136,0.147,1.0,
WY,2013,740,0.251,0.097,0.131,0.248,0.14,0.133,1.0,
PR,2013,741,0.242,0.101,0.109,0.261,0.121,0.165,1.0,
AL,2011,743,0.251,0.094,0.112,0.274,0.129,0.14,1.0,
AK,2011,744,0.278,0.102,0.126,0.282,0.13,0.083,1.0,
AZ,2011,745,0.266,0.095,0.117,0.259,0.119,0.144,1.0,
AR,2011,746,0.257,0.089,0.117,0.266,0.127,0.145,1.0,
CA,2011,747,0.262,0.102,0.127,0.279,0.114,0.117,1.0,
CO,2011,748,0.254,0.094,0.13,0.285,0.125,0.112,1.0,
CT,2011,749,0.241,0.08,0.107,0.298,0.132,0.142,1.0,
DE,2011,750,0.243,0.087,0.114,0.278,0.13,0.148,1.0,
DC,2011,751,0.187,0.116,0.204,0.266,0.113,0.115,1.0,
FL,2011,752,0.224,0.09,0.107,0.272,0.13,0.177,1.0,
GA,2011,753,0.273,0.094,0.121,0.287,0.116,0.11,1.0,
HI,2011,754,0.24,0.085,0.119,0.27,0.136,0.152,1.0,
ID,2011,755,0.283,0.094,0.118,0.256,0.121,0.128,1.0,
IL,2011,756,0.256,0.092,0.124,0.28,0.121,0.126,1.0,
IN,2011,757,0.262,0.091,0.114,0.276,0.127,0.13,1.0,
IA,2011,758,0.251,0.089,0.119,0.264,0.131,0.147,1.0,
KS,2011,759,0.269,0.096,0.115,0.265,0.124,0.131,1.0,
KY,2011,760,0.25,0.088,0.116,0.28,0.131,0.135,1.0,
LA,2011,761,0.263,0.1,0.122,0.266,0.124,0.125,1.0,
ME,2011,762,0.214,0.076,0.1,0.293,0.153,0.163,1.0,
MD,2011,763,0.246,0.09,0.119,0.293,0.127,0.125,1.0,
MA,2011,764,0.23,0.089,0.117,0.294,0.131,0.138,1.0,
MI,2011,765,0.246,0.095,0.106,0.28,0.134,0.14,1.0,
MN,2011,766,0.254,0.088,0.123,0.28,0.125,0.129,1.0,
MS,2011,767,0.271,0.095,0.112,0.269,0.124,0.13,1.0,
MO,2011,768,0.25,0.09,0.118,0.273,0.129,0.141,1.0,
MT,2011,769,0.234,0.094,0.113,0.261,0.149,0.15,1.0,
NE,2011,770,0.264,0.096,0.117,0.265,0.125,0.134,1.0,
NV,2011,771,0.256,0.092,0.125,0.279,0.122,0.126,1.0,
NH,2011,772,0.227,0.082,0.099,0.308,0.145,0.139,1.0,
NJ,2011,773,0.246,0.083,0.113,0.298,0.125,0.136,1.0,
NM,2011,774,0.267,0.098,0.114,0.254,0.131,0.137,1.0,
NY,2011,775,0.234,0.097,0.125,0.285,0.125,0.135,1.0,
NC,2011,776,0.256,0.089,0.115,0.283,0.126,0.132,1.0,
ND,2011,777,0.237,0.115,0.12,0.254,0.131,0.142,1.0,
OH,2011,778,0.248,0.088,0.112,0.278,0.134,0.141,1.0,
OK,2011,779,0.266,0.092,0.12,0.262,0.124,0.137,1.0,
OR,2011,780,0.233,0.092,0.124,0.269,0.138,0.143,1.0,
PA,2011,781,0.232,0.088,0.108,0.282,0.136,0.155,1.0,
RI,2011,782,0.224,0.097,0.111,0.288,0.135,0.144,1.0,
SC,2011,783,0.248,0.093,0.11,0.273,0.134,0.141,1.0,
SD,2011,784,0.263,0.091,0.115,0.26,0.127,0.145,1.0,
TN,2011,785,0.247,0.09,0.117,0.279,0.131,0.137,1.0,
TX,2011,786,0.29,0.098,0.127,0.273,0.108,0.105,1.0,
UT,2011,787,0.33,0.111,0.142,0.233,0.092,0.092,1.0,
VT,2011,788,0.213,0.084,0.102,0.293,0.156,0.152,1.0,
VA,2011,789,0.247,0.091,0.12,0.289,0.127,0.126,1.0,
WA,2011,790,0.245,0.092,0.126,0.28,0.131,0.126,1.0,
WV,2011,791,0.22,0.088,0.105,0.275,0.15,0.162,1.0,
WI,2011,792,0.247,0.09,0.114,0.28,0.132,0.137,1.0,
WY,2011,793,0.251,0.094,0.127,0.262,0.14,0.126,1.0,
PR,2011,794,0.254,0.1,0.114,0.261,0.12,0.152,1.0,
